[1.2214027581601699, 1.7332530178673953]    3.064208289e-10
21.8192419627    [6.783132032262565e-16, 6.783132032262565e-18, 0.0, 0.0, 1e+20, 1e+24]
28.0164612529    [1.802848851365129e-17, 1.802848851365129e-19, 0.0, 0.0, 1e+20, 1e+24]
35.9738483344    [2.9445482133254365e-17, 2.9445482133254363e-19, 0.0, 0.0, 1e+20, 1e+24]
46.1913355974    [3.322585354294739e-19, 3.322585354294739e-21, 0.0, 0.0, 1e+20, 1e+24]
1.39485747183    [2.1848723171109795e-15, 2.1848723171109794e-17, 0.0, 0.0, 1e+20, 1e+24]
1.79103244648    [0.0002767382057422348, 2.767382057422348e-06, 0.0, 0.0, 1e+20, 1e+24]
2.29973118339    [0.005256907777375257, 5.256907777375257e-05, 0.0, 0.0, 1e+20, 1e+24]
2.95291329103    [0.3186415869546954, 0.003186415869546954, 0.0, 0.0, 1e+20, 1e+24]
3.79161571895    [0.42584468490899485, 0.0042584468490899485, 0.0, 0.0, 1e+20, 1e+24]
4.86853095345    [0.22293052285756662, 0.002229305228575666, 0.0, 0.0, 1e+20, 1e+24]
6.25131748616    [0.10408740606651565, 0.0010408740606651565, 0.0, 0.0, 1e+20, 1e+24]
8.02685054001    [0.05943483185632385, 0.0005943483185632386, 0.0, 0.0, 1e+20, 1e+24]
10.3066801093    [0.020506832158484933, 0.00020506832158484934, 0.0, 0.0, 1e+20, 1e+24]
13.234039222    [1.8424642609704977e-16, 1.8424642609704977e-18, 0.0, 0.0, 1e+20, 1e+24]
16.9928427266    [1.4221497503679946e-16, 1.4221497503679947e-18, 0.0, 0.0, 1e+20, 1e+24]
21.8192419627    [1.852783573872511e-16, 1.852783573872511e-18, 0.0, 0.0, 1e+20, 1e+24]
28.0164612529    [4.759352699375383e-17, 4.759352699375383e-19, 0.0, 0.0, 1e+20, 1e+24]
35.9738483344    [1.6710263910240272e-16, 1.6710263910240272e-18, 0.0, 0.0, 1e+20, 1e+24]
46.1913355974    [4.17546972024873e-17, 4.17546972024873e-19, 0.0, 0.0, 1e+20, 1e+24]
1.39485747183    [2.000738015503517e-16, 2.0007380155035173e-18, 0.0, 0.0, 1e+20, 1e+24]
1.79103244648    [8.613966884017578e-16, 8.613966884017579e-18, 0.0, 0.0, 1e+20, 1e+24]
2.29973118339    [5.343355849001009e-16, 5.343355849001008e-18, 0.0, 0.0, 1e+20, 1e+24]
2.95291329103    [0.3399594964545231, 0.003399594964545231, 0.0, 0.0, 1e+20, 1e+24]
3.79161571895    [0.4679683701545433, 0.004679683701545433, 0.0, 0.0, 1e+20, 1e+24]
4.86853095345    [0.22762014342402523, 0.0022762014342402525, 0.0, 0.0, 1e+20, 1e+24]
6.25131748616    [0.08656456675375883, 0.0008656456675375883, 0.0, 0.0, 1e+20, 1e+24]
8.02685054001    [0.033478548948429485, 0.0003347854894842948, 0.0, 0.0, 1e+20, 1e+24]
10.3066801093    [1.816016036489612e-17, 1.816016036489612e-19, 0.0, 0.0, 1e+20, 1e+24]
13.234039222    [1.4315865180833552e-16, 1.4315865180833553e-18, 0.0, 0.0, 1e+20, 1e+24]
16.9928427266    [1.8512420371595836e-16, 1.8512420371595835e-18, 0.0, 0.0, 1e+20, 1e+24]
21.8192419627    [1.755094635163934e-16, 1.755094635163934e-18, 0.0, 0.0, 1e+20, 1e+24]
28.0164612529    [3.815037369305955e-17, 3.815037369305955e-19, 0.0, 0.0, 1e+20, 1e+24]
35.9738483344    [1.896742533392561e-16, 1.8967425333925612e-18, 0.0, 0.0, 1e+20, 1e+24]
46.1913355974    [1.8487236577644103e-16, 1.8487236577644104e-18, 0.0, 0.0, 1e+20, 1e+24]
1.78213104986    [6.068469007885798e-16, 6.068469007885798e-18, 0.0, 0.0, 1e+20, 1e+24]
2.07054087875    [0.01409662335611628, 0.0001409662335611628, 0.0, 0.0, 1e+20, 1e+24]
2.4056252939    [0.11733424246220113, 0.0011733424246220113, 0.0, 0.0, 1e+20, 1e+24]
2.79493784163    [0.2068947303096446, 0.0020689473030964457, 0.0, 0.0, 1e+20, 1e+24]
3.2472544907    [0.25515883019672914, 0.0025515883019672915, 0.0, 0.0, 1e+20, 1e+24]
3.77277146215    [0.19619350576674285, 0.0019619350576674287, 0.0, 0.0, 1e+20, 1e+24]
4.38333507472    [0.11795705935611377, 0.0011795705935611378, 0.0, 0.0, 1e+20, 1e+24]
5.09270878716    [0.08848020471095225, 0.0008848020471095225, 0.0, 0.0, 1e+20, 1e+24]
5.91688345716    [0.05354238676625547, 0.0005354238676625547, 0.0, 0.0, 1e+20, 1e+24]
6.87443781077    [0.04766363304726559, 0.0004766363304726559, 0.0, 0.0, 1e+20, 1e+24]
7.98695724805    [0.03544690190877473, 0.00035446901908774733, 0.0, 0.0, 1e+20, 1e+24]
9.279520426    [0.02402152810578623, 0.00024021528105786232, 0.0, 0.0, 1e+20, 1e+24]
10.781264587    [0.013191959904596153, 0.00013191959904596153, 0.0, 0.0, 1e+20, 1e+24]
12.5260423771    [0.003190576652037987, 3.190576652037987e-05, 0.0, 0.0, 1e+20, 1e+24]
14.5531849596    [2.3429192208992177e-05, 2.3429192208992178e-07, 0.0, 0.0, 1e+20, 1e+24]
1.9695594085    [4.439005728134837e-19, 4.439005728134837e-21, 0.0, 0.0, 1e+20, 1e+24]
2.28830156388    [7.600938753754634e-16, 7.600938753754634e-18, 0.0, 0.0, 1e+20, 1e+24]
2.65862711461    [1.4477771808253313e-16, 1.4477771808253313e-18, 0.0, 0.0, 1e+20, 1e+24]
3.0888840204    [0.763276184650885, 0.00763276184650885, 0.0, 0.0, 1e+20, 1e+24]
3.58877122672    [0.4028966265893757, 0.004028966265893757, 0.0, 0.0, 1e+20, 1e+24]
4.16955730052    [2.4120300948922095e-17, 2.4120300948922097e-19, 0.0, 0.0, 1e+20, 1e+24]
4.84433444876    [1.9293844819850004e-17, 1.9293844819850005e-19, 0.0, 0.0, 1e+20, 1e+24]
5.6283136458    [5.599334708585842e-17, 5.599334708585842e-19, 0.0, 0.0, 1e+20, 1e+24]
6.5391675225    [2.7763982531418793e-17, 2.776398253141879e-19, 0.0, 0.0, 1e+20, 1e+24]
7.59742874658    [3.394275837114161e-17, 3.3942758371141614e-19, 0.0, 0.0, 1e+20, 1e+24]
8.82695287446    [1.566389378208292e-16, 1.566389378208292e-18, 0.0, 0.0, 1e+20, 1e+24]
10.2554561085    [2.8324348102308752e-18, 2.8324348102308755e-20, 0.0, 0.0, 1e+20, 1e+24]
11.9151400817    [1.769546266557541e-16, 1.7695462665575412e-18, 0.0, 0.0, 1e+20, 1e+24]
13.8434177538    [1.2215342772350929e-17, 1.2215342772350928e-19, 0.0, 0.0, 1e+20, 1e+24]
16.0837567827    [1.7615700276740436e-16, 1.7615700276740436e-18, 0.0, 0.0, 1e+20, 1e+24]
18.6866593819    [3.054731971247535e-17, 3.054731971247535e-19, 0.0, 0.0, 1e+20, 1e+24]
21.7108007521    [5.550237002668991e-17, 5.550237002668991e-19, 0.0, 0.0, 1e+20, 1e+24]
25.2243517508    [2.030187975326838e-17, 2.0301879753268381e-19, 0.0, 0.0, 1e+20, 1e+24]
29.3065156147    [4.1758322121109176e-17, 4.1758322121109176e-19, 0.0, 0.0, 1e+20, 1e+24]
34.0493133762    [4.133650012544174e-17, 4.133650012544174e-19, 0.0, 0.0, 1e+20, 1e+24]
39.5596582219    [1.6777090853380685e-18, 1.6777090853380685e-20, 0.0, 0.0, 1e+20, 1e+24]
45.9617655528    [2.2546142172283313e-17, 2.2546142172283315e-19, 0.0, 0.0, 1e+20, 1e+24]
53.3999530755    [3.3927661913989813e-17, 3.3927661913989813e-19, 0.0, 0.0, 1e+20, 1e+24]
62.0418940432    [2.3638558774557685e-17, 2.3638558774557685e-19, 0.0, 0.0, 1e+20, 1e+24]
72.0823969831    [3.376682645102997e-17, 3.376682645102997e-19, 0.0, 0.0, 1e+20, 1e+24]
1.89799826631    [2.0049313367975748e-19, 2.0049313367975748e-21, 0.0, 0.0, 1e+20, 1e+24]
2.05607697636    [5.308021014808706e-15, 5.308021014808707e-17, 0.0, 0.0, 1e+20, 1e+24]
